Location,Rural/Urban,School Category,School Management,School Type,Total No. of Schools,Separate Room for Headmaster,Land Available,Functional Electricity,Solar Panel,Playground,Library or Reading Corner or Book Bank,Librarian,Newspaper,Kitchen Garden,Furniture,Functional Toilet Facility,Functional Drinking Water,Water Purifier,Rain Water Harvesting,Handwash,Incinerator,Ramps,Hand-Rails,Complete Medical Checkup,Internet,Computer Available
Andaman & Nicobar Islands,Rural,HSS (I-XII),Department of Education,Co-Ed,21,21,18,21,1,21,21,14,12,15,21,21,21,15,9,21,17,16,8,18,18,21
Andaman & Nicobar Islands,Urban,HSS (I-XII),Department of Education,Girls,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1
Andaman & Nicobar Islands,Urban,HSS (I-XII),Department of Education,Co-Ed,8,8,5,8,1,8,8,8,7,4,8,8,8,7,2,8,6,8,6,4,8,8
Andaman & Nicobar Islands,Rural,HSS (IX-XII),Department of Education,Co-Ed,3,2,3,3,0,3,3,3,3,2,3,3,3,1,0,3,3,1,0,2,3,3
Andaman & Nicobar Islands,Urban,HSS (IX-XII),Department of Education,Co-Ed,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andaman & Nicobar Islands,Rural,HSS (VI-XII),Department of Education,Co-Ed,14,12,14,14,2,14,14,9,5,11,14,14,14,12,4,14,9,13,10,12,14,14
Andaman & Nicobar Islands,Urban,HSS (VI-XII),Department of Education,Co-Ed,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Andaman & Nicobar Islands,Rural,PS (I-V),Department of Education,Co-Ed,175,103,144,145,4,168,174,1,7,98,167,175,175,120,26,175,0,109,55,102,5,42
Andaman & Nicobar Islands,Urban,PS (I-V),Department of Education,Co-Ed,8,6,7,8,0,7,8,0,0,3,8,8,8,5,1,8,0,7,4,6,0,5
Andaman & Nicobar Islands,Rural,SS (I-X),Department of Education,Co-Ed,34,32,33,34,1,33,34,23,12,24,33,34,34,21,9,34,27,27,16,30,27,34
Andaman & Nicobar Islands,Urban,SS (I-X),Department of Education,Co-Ed,4,4,3,4,1,4,4,4,4,2,4,4,4,4,3,4,4,4,3,4,4,4
Andaman & Nicobar Islands,Rural,SS (VI-X),Department of Education,Co-Ed,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1
Andaman & Nicobar Islands,Urban,SS (VI-X),Department of Education,Co-Ed,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1
Andaman & Nicobar Islands,Rural,UPS (I-VIII),Department of Education,Co-Ed,51,37,47,51,1,48,51,12,6,24,50,51,51,34,15,51,6,43,24,27,34,51
Andaman & Nicobar Islands,Urban,UPS (I-VIII),Department of Education,Co-Ed,6,5,4,6,1,4,6,4,0,3,5,6,6,4,1,6,1,3,2,3,6,6
Andaman & Nicobar Islands,Rural,HSS (I-XII),Government Aided,Co-Ed,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,1,1
Andaman & Nicobar Islands,Urban,HSS (I-XII),Government Aided,Co-Ed,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1
Andaman & Nicobar Islands,Rural,HSS (VI-XII),Jawahar Navodaya Vidyalaya,Co-Ed,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
Andaman & Nicobar Islands,Rural,SS (VI-X),Jawahar Navodaya Vidyalaya,Co-Ed,2,2,2,2,1,2,2,1,2,2,1,2,2,2,0,2,2,1,1,2,1,2
Andaman & Nicobar Islands,Urban,HSS (I-XII),Kendriya Vidyalaya / Central School,Co-Ed,2,2,2,2,0,2,2,2,2,0,2,2,2,2,2,2,1,1,1,0,2,2
Andaman & Nicobar Islands,Rural,HSS (I-XII),Local body,Co-Ed,2,2,2,2,0,2,2,2,2,0,2,2,2,1,0,2,0,0,0,1,1,2
Andaman & Nicobar Islands,Rural,PS (I-V),Local body,Co-Ed,2,1,2,2,0,2,2,0,1,0,2,2,2,1,0,2,0,0,0,0,0,2
Andaman & Nicobar Islands,Rural,SS (I-X),Local body,Co-Ed,3,3,3,3,0,3,3,0,3,2,3,3,3,3,0,3,1,0,0,0,3,3
Andaman & Nicobar Islands,Urban,SS (I-X),Local body,Co-Ed,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1
Andaman & Nicobar Islands,Rural,HSS (I-XII),Private Unaided (Recognized),Co-Ed,4,4,4,4,0,4,4,4,4,3,4,4,4,4,2,4,1,2,1,2,4,4
Andaman & Nicobar Islands,Urban,HSS (I-XII),Private Unaided (Recognized),Co-Ed,9,9,9,9,0,9,9,9,9,2,9,9,9,9,5,9,4,2,1,4,8,9
Andaman & Nicobar Islands,Rural,PS (I-V),Private Unaided (Recognized),Co-Ed,24,22,18,24,2,23,23,6,18,5,23,24,24,18,5,24,0,8,4,8,11,22
Andaman & Nicobar Islands,Urban,PS (I-V),Private Unaided (Recognized),Co-Ed,9,9,5,9,1,9,9,0,9,3,8,9,9,9,1,9,0,2,1,2,3,9
Andaman & Nicobar Islands,Rural,SS (I-X),Private Unaided (Recognized),Co-Ed,5,5,5,5,0,5,5,5,5,1,5,5,5,5,1,5,1,2,2,2,5,5
Andaman & Nicobar Islands,Urban,SS (I-X),Private Unaided (Recognized),Co-Ed,2,2,2,2,0,2,2,2,2,1,2,2,2,2,2,2,0,0,0,1,2,2
Andaman & Nicobar Islands,Rural,UPS (I-VIII),Private Unaided (Recognized),Co-Ed,14,14,11,14,1,13,14,2,13,3,13,14,14,13,3,14,7,6,3,6,14,14
Andaman & Nicobar Islands,Urban,UPS (I-VIII),Private Unaided (Recognized),Co-Ed,5,5,3,5,0,5,5,2,5,1,5,5,5,4,0,5,2,1,1,0,5,5
Andhra Pradesh,Rural,HSS (I-XII),Department of Education,Boys,5,5,5,5,2,5,5,4,5,5,5,5,5,4,2,5,1,2,2,5,5,5
Andhra Pradesh,Rural,HSS (I-XII),Department of Education,Girls,77,70,70,77,29,73,77,15,68,71,77,77,77,71,41,77,62,52,41,76,51,74
Andhra Pradesh,Rural,HSS (I-XII),Department of Education,Co-Ed,3,2,3,3,2,3,3,2,3,1,3,3,3,2,1,3,3,3,3,2,3,3
Andhra Pradesh,Urban,HSS (I-XII),Department of Education,Boys,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1
Andhra Pradesh,Urban,HSS (I-XII),Department of Education,Girls,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andhra Pradesh,Rural,HSS (VI-XII),Department of Education,Girls,130,121,102,129,42,122,130,20,119,104,130,130,130,117,51,130,112,88,69,126,84,127
Andhra Pradesh,Rural,HSS (VI-XII),Department of Education,Co-Ed,146,143,139,146,33,139,146,84,134,63,146,146,146,123,71,146,113,111,77,136,123,146
Andhra Pradesh,Urban,HSS (VI-XII),Department of Education,Girls,17,16,14,17,6,13,17,3,17,16,17,17,17,16,8,17,17,12,11,15,6,17
Andhra Pradesh,Urban,HSS (VI-XII),Department of Education,Co-Ed,11,11,10,11,1,10,11,7,11,4,11,11,11,9,4,11,10,10,5,10,9,11
Andhra Pradesh,Rural,HSS (XI-XII),Department of Education,Boys,8,7,7,8,1,7,8,6,8,5,8,8,8,4,4,8,0,2,0,7,8,8
Andhra Pradesh,Rural,HSS (XI-XII),Department of Education,Girls,12,9,8,12,1,11,9,4,11,2,12,12,12,5,4,12,3,5,3,11,11,11
Andhra Pradesh,Rural,HSS (XI-XII),Department of Education,Co-Ed,321,244,278,313,9,284,299,126,207,17,321,312,318,64,79,276,72,142,70,181,276,295
Andhra Pradesh,Urban,HSS (XI-XII),Department of Education,Boys,13,12,8,13,1,11,13,7,10,2,13,12,12,4,0,8,0,5,2,7,13,13
Andhra Pradesh,Urban,HSS (XI-XII),Department of Education,Girls,36,26,29,36,0,28,34,22,28,1,36,36,35,17,8,31,6,19,11,24,36,36
Andhra Pradesh,Urban,HSS (XI-XII),Department of Education,Co-Ed,97,81,79,95,5,88,92,54,70,4,97,94,97,33,23,79,13,56,35,45,92,92
Andhra Pradesh,Rural,PS (I-V),Department of Education,Co-Ed,254,21,168,240,17,211,251,20,80,122,254,247,247,64,74,250,0,119,61,231,77,32
Andhra Pradesh,Urban,PS (I-V),Department of Education,Girls,2,1,1,2,0,2,2,0,0,0,2,2,2,1,1,2,0,1,0,1,1,2
Andhra Pradesh,Urban,PS (I-V),Department of Education,Co-Ed,54,6,25,54,2,31,54,3,12,6,54,54,54,9,9,54,0,29,18,41,15,8
Andhra Pradesh,Rural,SS (I-X),Department of Education,Boys,46,43,27,46,6,43,45,14,42,24,46,46,45,31,14,46,3,18,15,40,42,43
Andhra Pradesh,Rural,SS (I-X),Department of Education,Girls,36,33,22,36,4,34,35,5,35,19,36,35,36,22,12,35,16,12,8,34,36,35
Andhra Pradesh,Rural,SS (I-X),Department of Education,Co-Ed,4,4,4,4,0,4,4,0,3,1,4,4,4,2,3,4,1,2,0,4,3,4
Andhra Pradesh,Urban,SS (I-X),Department of Education,Boys,14,12,6,14,3,13,13,1,13,7,14,14,14,8,5,14,1,7,6,12,13,14
Andhra Pradesh,Urban,SS (I-X),Department of Education,Girls,16,15,5,16,3,13,16,2,15,5,16,16,16,5,2,16,4,5,4,16,16,16
Andhra Pradesh,Urban,SS (I-X),Department of Education,Co-Ed,6,4,5,6,0,5,6,0,3,0,6,6,6,4,2,6,5,4,2,6,5,6
Andhra Pradesh,Rural,SS (VI-X),Department of Education,Boys,6,5,5,6,0,6,6,1,5,2,6,6,5,6,4,6,0,5,4,4,5,5
Andhra Pradesh,Rural,SS (VI-X),Department of Education,Girls,124,114,104,124,54,110,121,17,104,91,124,124,122,106,55,123,100,94,70,121,68,119
Andhra Pradesh,Rural,SS (VI-X),Department of Education,Co-Ed,135,113,118,133,21,126,135,11,91,43,135,133,135,66,57,131,69,113,79,121,83,130
Andhra Pradesh,Urban,SS (VI-X),Department of Education,Boys,7,6,5,7,0,6,7,0,5,2,7,7,7,3,2,7,0,6,3,6,6,7
Andhra Pradesh,Urban,SS (VI-X),Department of Education,Girls,44,37,22,44,11,36,44,4,30,22,44,44,44,31,20,44,33,34,25,41,29,43
Andhra Pradesh,Urban,SS (VI-X),Department of Education,Co-Ed,70,61,51,70,12,65,68,5,50,18,70,70,70,50,37,70,35,58,37,60,48,67
Andhra Pradesh,Rural,UPS (I-VIII),Department of Education,Boys,1,1,1,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,1,1,1
Andhra Pradesh,Rural,UPS (I-VIII),Department of Education,Co-Ed,44,7,30,44,5,35,40,2,13,29,44,42,44,28,22,42,23,27,21,40,15,10
Andhra Pradesh,Urban,UPS (I-VIII),Department of Education,Boys,2,1,2,2,1,2,2,1,2,2,2,2,2,2,0,2,1,0,0,2,2,1
Andhra Pradesh,Urban,UPS (I-VIII),Department of Education,Co-Ed,8,2,4,8,0,5,8,0,3,2,8,8,8,0,1,8,0,4,2,6,4,3
Andhra Pradesh,Rural,HSS (VI-XII),Government Aided,Co-Ed,1,1,1,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0
Andhra Pradesh,Rural,HSS (XI-XII),Government Aided,Girls,5,5,4,5,2,5,5,3,4,3,5,5,5,5,2,5,3,3,2,3,5,5
Andhra Pradesh,Rural,HSS (XI-XII),Government Aided,Co-Ed,46,46,40,46,6,43,46,25,44,6,46,46,46,23,21,44,24,14,9,31,44,45
Andhra Pradesh,Urban,HSS (XI-XII),Government Aided,Boys,2,2,1,2,1,2,2,1,1,0,2,2,2,2,1,2,1,2,2,1,2,2
Andhra Pradesh,Urban,HSS (XI-XII),Government Aided,Girls,14,13,12,14,7,14,14,9,12,7,14,14,14,12,10,14,9,11,8,10,14,13
Andhra Pradesh,Urban,HSS (XI-XII),Government Aided,Co-Ed,62,62,47,62,19,62,61,41,53,16,62,61,62,43,32,61,40,30,23,38,62,61
Andhra Pradesh,Rural,PS (I-V),Government Aided,Co-Ed,600,114,299,554,24,466,567,38,117,187,600,549,591,67,178,584,0,166,99,536,243,54
Andhra Pradesh,Urban,PS (I-V),Government Aided,Boys,4,2,2,4,0,4,4,0,2,0,4,4,4,0,1,4,0,2,2,3,2,1
Andhra Pradesh,Urban,PS (I-V),Government Aided,Girls,8,4,3,8,0,8,7,0,4,1,8,8,8,3,3,7,0,5,0,3,2,3
Andhra Pradesh,Urban,PS (I-V),Government Aided,Co-Ed,267,119,110,249,16,214,252,12,66,62,267,266,262,64,77,263,0,82,43,196,93,53
Andhra Pradesh,Rural,SS (I-X),Government Aided,Boys,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
Andhra Pradesh,Urban,SS (I-X),Government Aided,Co-Ed,6,4,4,6,1,5,5,1,3,4,6,6,6,3,2,5,4,2,1,5,4,5
Andhra Pradesh,Rural,SS (VI-X),Government Aided,Boys,2,2,2,2,0,2,2,0,1,2,2,2,2,2,2,2,0,2,2,2,2,2
Andhra Pradesh,Rural,SS (VI-X),Government Aided,Girls,9,9,6,9,0,9,9,1,5,3,9,9,9,4,2,9,6,5,5,7,6,8
Andhra Pradesh,Rural,SS (VI-X),Government Aided,Co-Ed,132,127,112,131,9,128,129,19,69,53,132,130,129,48,65,130,61,67,36,118,82,92
Andhra Pradesh,Urban,SS (VI-X),Government Aided,Boys,10,10,7,10,0,10,10,1,5,4,10,10,10,5,4,10,1,7,2,7,6,6
Andhra Pradesh,Urban,SS (VI-X),Government Aided,Girls,38,33,20,38,7,36,37,4,23,14,38,38,38,20,14,36,23,17,7,25,22,24
Andhra Pradesh,Urban,SS (VI-X),Government Aided,Co-Ed,171,163,105,171,22,164,163,21,94,55,171,171,170,83,79,170,89,95,47,134,97,113
Andhra Pradesh,Rural,UPS (I-VIII),Government Aided,Co-Ed,67,41,45,66,2,61,66,2,21,20,67,67,67,13,22,63,24,23,11,52,35,11
Andhra Pradesh,Urban,UPS (I-VIII),Government Aided,Girls,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1
Andhra Pradesh,Urban,UPS (I-VIII),Government Aided,Co-Ed,95,65,26,92,7,80,89,4,38,27,95,95,94,25,33,94,30,38,23,80,33,20
Andhra Pradesh,Rural,UPS (VI-VIII),Government Aided,Co-Ed,1,0,1,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0
Andhra Pradesh,Rural,HSS (VI-XII),Jawahar Navodaya Vidyalaya,Co-Ed,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2
Andhra Pradesh,Urban,HSS (VI-XII),Jawahar Navodaya Vidyalaya,Co-Ed,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1
Andhra Pradesh,Rural,SS (VI-X),Jawahar Navodaya Vidyalaya,Co-Ed,10,10,10,10,7,10,10,10,9,6,10,10,10,10,8,10,7,10,10,10,10,10
Andhra Pradesh,Urban,SS (VI-X),Jawahar Navodaya Vidyalaya,Co-Ed,2,2,1,2,1,2,2,2,2,2,2,2,2,2,1,2,1,2,2,1,2,2
Andhra Pradesh,Rural,HSS (I-XII),Kendriya Vidyalaya / Central School,Co-Ed,2,2,1,2,0,2,2,2,2,0,2,2,2,2,2,2,1,2,1,0,2,2
Andhra Pradesh,Urban,HSS (I-XII),Kendriya Vidyalaya / Central School,Co-Ed,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1
Andhra Pradesh,Rural,PS (I-V),Kendriya Vidyalaya / Central School,Co-Ed,1,0,1,1,0,1,1,0,0,0,1,1,1,0,0,1,0,1,1,1,0,0
Andhra Pradesh,Rural,SS (I-X),Kendriya Vidyalaya / Central School,Co-Ed,10,10,8,10,2,10,10,8,10,4,10,10,10,7,5,10,5,8,7,6,9,10
Andhra Pradesh,Urban,SS (I-X),Kendriya Vidyalaya / Central School,Co-Ed,22,21,18,22,5,21,22,12,21,5,22,22,22,22,16,22,13,19,19,13,21,22
Andhra Pradesh,Rural,SS (VI-X),Kendriya Vidyalaya / Central School,Co-Ed,3,3,3,3,1,3,3,1,1,0,3,3,3,1,1,3,1,3,1,2,1,1
Andhra Pradesh,Rural,UPS (I-VIII),Kendriya Vidyalaya / Central School,Co-Ed,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1
Andhra Pradesh,Urban,UPS (I-VIII),Kendriya Vidyalaya / Central School,Co-Ed,1,1,0,1,0,1,1,0,1,0,1,1,1,1,0,1,0,1,0,0,1,1
Andhra Pradesh,Rural,HSS (I-XII),Local body,Co-Ed,1,0,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,1,0,0
Andhra Pradesh,Urban,HSS (XI-XII),Local body,Co-Ed,1,1,0,1,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1
Andhra Pradesh,Rural,PS (I-V),Local body,Boys,4,1,1,4,1,4,4,0,1,1,4,4,4,1,0,4,0,3,3,4,1,2
Andhra Pradesh,Rural,PS (I-V),Local body,Girls,3,0,0,3,0,1,3,0,0,2,3,3,3,0,0,3,0,1,1,3,2,1
Andhra Pradesh,Rural,PS (I-V),Local body,Co-Ed,28966,2152,14156,28232,1305,20243,28404,1415,6739,8109,28966,28236,28715,8373,8244,28444,0,16450,10742,25356,12658,7241
Andhra Pradesh,Urban,PS (I-V),Local body,Boys,2,0,2,2,1,2,2,1,1,2,2,2,2,0,1,2,0,2,1,2,2,1
Andhra Pradesh,Urban,PS (I-V),Local body,Girls,6,1,2,6,1,4,6,1,4,3,6,6,6,1,4,6,0,5,2,5,3,3
Andhra Pradesh,Urban,PS (I-V),Local body,Co-Ed,2696,536,1017,2681,217,1800,2610,154,635,533,2696,2670,2685,671,796,2644,0,1686,1016,2092,984,827
Andhra Pradesh,Rural,SS (I-X),Local body,Girls,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1
Andhra Pradesh,Rural,SS (I-X),Local body,Co-Ed,460,329,366,459,13,417,457,39,317,100,460,458,460,140,171,456,168,362,234,437,251,395
Andhra Pradesh,Urban,SS (I-X),Local body,Girls,4,4,0,4,0,4,4,2,3,0,4,4,4,3,2,4,3,3,3,4,4,4
Andhra Pradesh,Urban,SS (I-X),Local body,Co-Ed,54,40,27,54,1,39,54,3,29,3,54,54,54,28,16,54,26,45,28,48,34,51
Andhra Pradesh,Rural,SS (VI-X),Local body,Boys,26,22,25,26,1,25,26,5,24,8,26,26,25,15,10,25,0,22,18,24,18,26
Andhra Pradesh,Rural,SS (VI-X),Local body,Girls,105,97,68,105,10,93,105,17,77,28,105,105,105,56,43,104,80,76,50,96,69,102
Andhra Pradesh,Rural,SS (VI-X),Local body,Co-Ed,3902,2889,3294,3888,235,3621,3873,351,2503,1328,3902,3895,3886,1568,1640,3870,1772,3118,2088,3677,2178,3579
Andhra Pradesh,Urban,SS (VI-X),Local body,Boys,17,17,13,17,1,16,17,4,12,6,17,17,17,15,9,17,1,13,11,15,13,17
Andhra Pradesh,Urban,SS (VI-X),Local body,Girls,94,79,59,93,10,82,94,14,57,27,94,94,94,64,46,92,77,76,59,81,57,89
Andhra Pradesh,Urban,SS (VI-X),Local body,Co-Ed,405,327,219,404,60,348,396,36,247,88,405,404,404,293,215,402,244,331,234,357,294,390
Andhra Pradesh,Rural,UPS (I-VIII),Local body,Co-Ed,3715,593,1920,3701,164,2637,3674,142,1121,1262,3715,3706,3703,2590,1334,3686,959,2831,1972,3380,1557,1747
Andhra Pradesh,Urban,UPS (I-VIII),Local body,Girls,1,0,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1
Andhra Pradesh,Urban,UPS (I-VIII),Local body,Co-Ed,267,81,107,265,18,159,260,9,73,46,267,267,265,127,85,257,56,180,109,223,102,172
Andhra Pradesh,Rural,UPS (VI-VIII),Local body,Co-Ed,2,2,1,1,0,2,2,0,0,0,2,2,2,0,0,1,0,2,1,2,0,0
Andhra Pradesh,Urban,UPS (VI-VIII),Local body,Co-Ed,1,0,0,1,0,1,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1
Andhra Pradesh,Urban,SS (I-X),Madarsa recognized (by Wakf board/Madarsa Board),Boys,1,0,1,1,0,1,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0
Andhra Pradesh,Urban,SS (I-X),Madarsa recognized (by Wakf board/Madarsa Board),Co-Ed,1,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,0,1,0,1,0,1
Andhra Pradesh,Rural,UPS (I-VIII),Madarsa recognized (by Wakf board/Madarsa Board),Boys,1,0,1,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1
Andhra Pradesh,Rural,UPS (I-VIII),Madarsa recognized (by Wakf board/Madarsa Board),Co-Ed,1,1,1,1,0,1,1,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1
Andhra Pradesh,Urban,UPS (I-VIII),Madarsa recognized (by Wakf board/Madarsa Board),Boys,1,0,1,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0
Andhra Pradesh,Urban,UPS (I-VIII),Madarsa recognized (by Wakf board/Madarsa Board),Co-Ed,3,1,1,3,0,1,2,0,2,0,3,3,3,0,1,3,0,0,0,3,0,2
Andhra Pradesh,Urban,UPS (VI-VIII),Madarsa recognized (by Wakf board/Madarsa Board),Co-Ed,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andhra Pradesh,Rural,PS (I-V),Madarsa unrecognized,Boys,7,2,3,7,1,3,4,1,1,3,7,7,7,1,2,6,0,2,2,4,3,2
Andhra Pradesh,Rural,PS (I-V),Madarsa unrecognized,Co-Ed,7,3,3,7,0,6,7,0,3,3,7,6,7,3,0,7,0,0,0,7,3,5
Andhra Pradesh,Urban,PS (I-V),Madarsa unrecognized,Boys,8,3,4,8,4,4,8,1,3,2,8,8,8,3,3,8,0,1,1,3,4,0
Andhra Pradesh,Urban,PS (I-V),Madarsa unrecognized,Girls,4,0,1,4,1,2,3,0,0,1,4,4,4,1,1,4,0,1,0,3,0,0
Andhra Pradesh,Urban,PS (I-V),Madarsa unrecognized,Co-Ed,29,11,6,28,3,16,23,1,6,7,29,29,28,5,3,27,0,4,2,16,8,19
Andhra Pradesh,Rural,SS (I-X),Madarsa unrecognized,Boys,2,1,1,1,1,1,2,0,0,1,2,2,2,2,1,2,1,2,1,0,1,1
Andhra Pradesh,Urban,SS (I-X),Madarsa unrecognized,Girls,1,0,0,1,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0
Andhra Pradesh,Urban,SS (I-X),Madarsa unrecognized,Co-Ed,4,4,3,4,0,3,3,1,1,2,4,4,4,2,2,4,2,2,1,3,1,2
Andhra Pradesh,Rural,SS (VI-X),Madarsa unrecognized,Girls,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1
Andhra Pradesh,Rural,SS (VI-X),Madarsa unrecognized,Co-Ed,1,1,0,1,0,1,1,0,1,0,1,1,1,0,0,1,0,1,0,1,1,1
Andhra Pradesh,Rural,UPS (I-VIII),Madarsa unrecognized,Boys,13,5,6,13,2,11,10,3,4,4,13,13,13,4,3,12,3,6,2,5,8,6
Andhra Pradesh,Rural,UPS (I-VIII),Madarsa unrecognized,Girls,7,5,3,7,0,4,6,3,4,3,7,7,7,2,1,7,3,2,1,3,3,5
Andhra Pradesh,Rural,UPS (I-VIII),Madarsa unrecognized,Co-Ed,7,6,4,7,0,5,7,1,3,1,7,7,7,3,0,7,3,1,0,5,4,6
Andhra Pradesh,Urban,UPS (I-VIII),Madarsa unrecognized,Boys,6,3,2,6,1,5,5,1,2,0,6,6,6,1,0,6,0,0,0,5,4,4
Andhra Pradesh,Urban,UPS (I-VIII),Madarsa unrecognized,Girls,12,7,3,12,1,8,10,2,5,5,12,12,12,3,1,12,4,1,1,6,8,8
Andhra Pradesh,Urban,UPS (I-VIII),Madarsa unrecognized,Co-Ed,47,27,9,47,1,30,41,6,16,15,47,47,46,11,4,46,8,12,5,24,27,32
Andhra Pradesh,Rural,UPS (VI-VIII),Madarsa unrecognized,Boys,1,0,1,1,1,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0
Andhra Pradesh,Rural,PS (I-V),Other Govt. managed schools,Co-Ed,5,2,1,5,2,2,2,0,0,1,5,5,5,0,0,5,0,1,0,2,4,1
Andhra Pradesh,Urban,PS (I-V),Other Govt. managed schools,Co-Ed,15,3,5,15,3,8,8,1,5,6,15,15,13,0,4,15,0,1,1,9,8,1
Andhra Pradesh,Urban,SS (I-X),Other Govt. managed schools,Boys,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,1
Andhra Pradesh,Urban,SS (I-X),Other Govt. managed schools,Co-Ed,2,2,1,2,0,2,2,0,1,1,2,2,2,0,1,2,1,0,0,1,1,1
Andhra Pradesh,Urban,SS (VI-X),Other Govt. managed schools,Co-Ed,2,1,0,2,0,2,1,0,1,0,2,2,2,1,0,2,0,0,0,2,1,1
Andhra Pradesh,Rural,UPS (I-VIII),Other Govt. managed schools,Co-Ed,2,0,0,2,0,0,1,0,0,0,2,2,2,0,0,2,0,0,0,1,0,1
Andhra Pradesh,Urban,UPS (I-VIII),Other Govt. managed schools,Co-Ed,5,2,0,5,0,2,4,0,0,1,5,5,4,1,0,5,0,1,0,3,0,0
Andhra Pradesh,Rural,HSS (I-XII),Private Unaided (Recognized),Girls,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1
Andhra Pradesh,Rural,HSS (I-XII),Private Unaided (Recognized),Co-Ed,6,6,5,6,1,6,6,6,6,3,6,6,6,5,6,6,3,5,4,6,6,6
Andhra Pradesh,Urban,HSS (I-XII),Private Unaided (Recognized),Co-Ed,10,10,4,10,2,10,10,10,10,2,10,10,10,8,7,10,6,4,4,7,10,10
Andhra Pradesh,Rural,HSS (XI-XII),Private Unaided (Recognized),Boys,7,6,6,7,4,7,6,6,6,5,7,7,5,7,5,7,4,6,5,6,4,7
Andhra Pradesh,Rural,HSS (XI-XII),Private Unaided (Recognized),Girls,35,33,28,35,13,33,35,26,31,14,35,35,33,28,20,34,24,15,14,22,32,35
Andhra Pradesh,Rural,HSS (XI-XII),Private Unaided (Recognized),Co-Ed,816,802,628,809,153,796,812,558,741,224,816,812,808,552,448,808,542,380,321,568,786,806
Andhra Pradesh,Urban,HSS (XI-XII),Private Unaided (Recognized),Boys,7,7,2,7,0,7,7,6,7,1,7,7,7,7,5,7,4,3,3,3,7,7
Andhra Pradesh,Urban,HSS (XI-XII),Private Unaided (Recognized),Girls,63,62,51,63,19,63,63,44,56,17,63,63,62,55,42,63,48,36,31,46,63,63
Andhra Pradesh,Urban,HSS (XI-XII),Private Unaided (Recognized),Co-Ed,992,985,591,991,177,951,977,720,895,166,992,992,990,717,542,990,697,443,363,689,973,986
Andhra Pradesh,Rural,PS (I-V),Private Unaided (Recognized),Boys,3,3,1,3,2,3,3,2,3,3,3,3,3,3,1,3,0,1,1,0,3,3
Andhra Pradesh,Rural,PS (I-V),Private Unaided (Recognized),Girls,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,0,1,1,1,2,2
Andhra Pradesh,Rural,PS (I-V),Private Unaided (Recognized),Co-Ed,1818,1684,1407,1809,251,1776,1753,590,1494,425,1818,1815,1807,1014,864,1809,0,636,448,1160,1608,1685
Andhra Pradesh,Urban,PS (I-V),Private Unaided (Recognized),Boys,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1
